id_venta;fecha;id_cliente;canal;importe;moneda
1001;2026-07-01;501;web;129.95;EUR
1002;2026-07-01;502;TIENDA;89.50;EUR
1003;2026-07-02;503; marketplace ;249.99;EUR
1004;2026-07-02;501;WEB;39.90;EUR
1005;2026-07-03;504;tienda;175.00;EUR
1006;2026-07-03;505;web;64.75;EUR
1007;2026-07-04;506;Marketplace;310.40;EUR
1008;2026-07-04;507;TIENDA ;54.60;EUR
1009;2026-07-05;503;web;119.00;EUR
1010;2026-07-05;508;tienda;92.35;EUR
1011;2026-07-06;509; marketplace;499.99;EUR
1012;2026-07-06;510;WEB ;25.00;EUR
